Tên bài hát,Tác giả nhạc,Tác giả lời,Ca sĩ,Tìm thấy qua
NGƯỜI THƯƠNG ĐÂU,LÊ CHÍ TRUNG,LÊ CHÍ TRUNG,,authors: Lê Chí Trung
NGƯỜI THƯƠNG ĐÂU EM ĐỢI,"MINH LOAN, NGUYỄN XUÂN MAI","MINH LOAN, NGUYỄN XUÂN MAI",,authors: NGUYỄN XUÂN MAI
NGƯỜI THƯƠNG ĐÂU RỒI,A TẤU,A TẤU,,titles: Thường
Người Thương Ơi,Bùi Thu Huyền,Nguyễn Khắc Tú,,authors: NGUYỄN KHA
NGƯỜI THẦY,DUY KHOA,DUY KHOA,,authors: Duy Khoa
NGƯỜI THẦY,NGUYỄN NHẤT HUY,NGUYỄN NHẤT HUY,,authors: Nguyễn Nhất Huy
Người Thầy,Thanh Tuyền,Thanh Tuyền,,authors: Thanh Tuyền
NGƯỜI THẦY CA CẢ ĐỜI CON,ĐẶNG THANH HUYỀN,ĐẶNG THANH HUYỀN,,authors: ĐẶNG THANH HUYỀN
NGƯỜI THẦY GIÁO MANG QUÂN HÀM XANH,BÙI ANH TÔN,BÙI ANH TÔN,,authors: Anh Tô
NGƯỜI THẦY GIÁO MUÔN ĐỜI SAU,ĐÀO NGỌC DUNG,ĐÀO NGỌC DUNG,,authors: Ngọc Du
NGƯỜI THẦY GIÁO THƯƠNG BINH,"LÊ VĂN LỘC, VŨ VĂN VIẾT","LÊ VĂN LỘC, VŨ VĂN VIẾT",,authors: Lê Văn Lộc
NGƯỜI THẦY GIÁO THƯƠNG BINH,NGUYỄN ĐỨC TOÀN,NGUYỄN ĐỨC TOÀN,,authors: Nguyễn Đức Toàn
NGƯỜI THẦY GIÁO THƯƠNG BINH VÙNG CAO,HUY THỤC,HUY THỤC,,authors: Huy Thục
NGƯỜI THẦY GIÁO TRÊN ĐẢO TRƯỜNG SA,LÊ HÀNH,LÊ HÀNH,,authors: Trường Sa
NGƯỜI THẦY GIÁO TẬN TỤY,"LÃ PHÚC QUANG, VIỆT HÙNG","LÃ PHÚC QUANG, VIỆT HÙNG",,authors: Việt Hùng
NGƯỜI THẦY GIÁO VĨ ĐẠI,ĐỖ HÒA AN,ĐỖ HÒA AN,,authors: Đỗ Hòa An
NGƯỜI THẦY NĂM XƯA,YÊN LAM,YÊN LAM,,authors: Yên Lam
NGƯỜI THẦY THUỐC CỦA NHÂN DÂN,VĂN ĐÌNH CÔNG,VĂN ĐÌNH CÔNG,,titles: Nhẫn
NGƯỜI THẦY THUỐC NHÂN DÂN,"PHẠM VĂN TRƯỜNG, ĐỖ HUY HOÀNG","PHẠM VĂN TRƯỜNG, ĐỖ HUY HOÀNG",,authors: Đỗ Huy Hoàng
NGƯỜI THẦY THUỐC QUÊ TA,NGÔ QUỐC TÍNH,NGÔ QUỐC TÍNH,,authors: Ngô Quốc Tính
NGƯỜI THẦY THUỐC VÌ NƯỚC QUÊN MÌNH,"LÊ ANH TUẤN, PHẠM PHƯƠNG LAN","LÊ ANH TUẤN, PHẠM PHƯƠNG LAN",,authors: Lê Anh Tuấn
NGƯỜI THẦY TRONG TIM EM,"PHẠM QUANG DỤ, VŨ NGỌC MẠNH","PHẠM QUANG DỤ, VŨ NGỌC MẠNH",,titles: Trống
NGƯỜI THẦY TRONG TIM TÔI,GIANG ÂN,GIANG ÂN,,authors: Giang Ân
NGƯỜI THẦY TRONG TIM TÔI,NGUYỄN NHẬT TRƯỜNG,NGUYỄN NHẬT TRƯỜNG,,authors: Nguyễn Nhật Trường
NGƯỜI THẦY TRONG TÔI,"HIỆP VĂN, NGUYÊN THẢO","HIỆP VĂN, NGUYÊN THẢO",,authors: Nguyên Thảo
NGƯỜI THẦY TÀI BA,THÁI HOÀNG AN,THÁI HOÀNG AN,,authors: THÁI HOÀNG AN
NGƯỜI THẦY TÔI QUEN,"DUY TUẤN, HOÀNG KHÁNH LINH","DUY TUẤN, HOÀNG KHÁNH LINH",,authors: DUY TUẤN
NGƯỜI THẦY VÙNG CAO,DANH ZORAM,DANH ZORAM,,authors: Danh Zoram
NGƯỜI THẦY XỨ NGHỆ,LÊ THỐNG NHẤT,LÊ THỐNG NHẤT,,authors: Lê Thống Nhất
NGƯỜI THẦY ÁO TRẮNG,ĐỖ ANH VĂN,ĐỖ ANH VĂN,,authors: Đỗ Anh
NGƯỜI THẦY ÂM NHẠC,DƯƠNG VĂN TÀI,DƯƠNG VĂN TÀI,,authors: Văn Tài
NGƯỜI THẦY ĐẦU TIÊN,NGUYỄN VĂN CHUNG,NGUYỄN VĂN CHUNG,,authors: Nguyễn Văn Chung
NGƯỜI THẦY ĐỜI TÔI,NGUYỄN DŨNG,NGUYỄN DŨNG,,titles: Ấy Đời Tôi
NGƯỜI THẨM PHÁN TÔI YÊU,HOÀNG THÀNH,HOÀNG THÀNH,,authors: HOÀNG THÀNH
NGƯỜI THẬT SỰ THƯƠNG EM,BĂNG TÌNH,BĂNG TÌNH,,authors: Băng Tình
Người Thắng Cuộc,Nhạc nước ngoài,"Văn Tài, Vương Thiên Bảo",,authors: Nhạc Nước Ngoại
NGƯỜI THẮP LỬA TRONG TIM,ĐÌNH LINH,ĐÌNH LINH,,titles: Trống
NGƯỜI THẮP SÁNG BIỂN KHƠI,"NGUYỄN QUYẾT THẮNG, TRẦN ÁI NGHĨA","NGUYỄN QUYẾT THẮNG, TRẦN ÁI NGHĨA",,authors: Trần Ái Nghĩa
NGƯỜI THẮP SÁNG MƠ ƯỚC,NGUYỄN NGỌC THIỆN,NGUYỄN NGỌC THIỆN,,authors: Nguyễn Ngọc Thiện
NGƯỜI THẮP SÁNG TÌNH YÊU,LÊ HUY,LÊ HUY,,authors: Lê Huy
NGƯỜI THẾ THAY,NGUYỄN THẾ MINH,NGUYỄN THẾ MINH,,authors: Nguyễn Thế Minh
NGƯỜI THẾ VAI,BẢO CHINH,BẢO CHINH,,authors: Bảo Chinh
NGƯỜI THẾ VAI,SEVEN ĐÔNG,SEVEN ĐÔNG,,authors: Seven Đông
NGƯỜI THẾ VAI,THÀNH TÂM,THÀNH TÂM,,authors: Thanh Tâm
NGƯỜI THẾ VAI,ĐÌNH PHONG,ĐÌNH PHONG,,authors: Đinh Phong
NGƯỜI THỔI HỒN VÀO ĐÁ,NGUYỄN LÊ TÂM,NGUYỄN LÊ TÂM,,authors: Nguyên Lễ
NGƯỜI THỔI SÁO TRÊN ĐÈO SƠN LA,XUÂN DŨNG,XUÂN DŨNG,,authors: Xuân Dũng
NGƯỜI THỢ BA SON,PHAN NHÂN,PHAN NHÂN,,authors: Phan Nhân
NGƯỜI THỢ DỆT NON SÔNG,AN THUYÊN,AN THUYÊN,,authors: An Thuyên
NGƯỜI THỢ NGÓI RU CON,VŨ MINH VỸ,VŨ MINH VỸ,,authors: Minh Vy
NGƯỜI THỢ SĂN,THANH SƠN,THANH SƠN,,authors: Thanh Sơn
NGƯỜI THỢ SĂN VÀ ĐÀN CHIM NHỎ,NHẬT NGÂN,NHẬT NGÂN,,authors: NHẬT NGÂN
NGƯỜI THỢ TRẺ,VŨ HOÀNG,VŨ HOÀNG,,authors: Vũ Hoàng
NGƯỜI THỢ XÂY,LƯƠNG BẰNG VINH,LƯƠNG BẰNG VINH,,authors: Lương Bằng Vinh
NGƯỜI THỢ YÊU ĐỜI,VI THẢO NGUYÊN,VI THẢO NGUYÊN,,authors: Thảo Nguyên
NGƯỜI THỢ ĐƯỜNG HẦM,QUỲNH HỢP,QUỲNH HỢP,,authors: Quỳnh Hợp
NGƯỜI THỦ TƯỚNG CỦA LÒNG DÂN,TRẦN NGỌC HÒA,TRẦN NGỌC HÒA,,authors: Trần Ngọc
NGƯỜI THỦ TƯỚNG NHÂN DÂN,TRẦN NGỌC HÒA,TRẦN NGỌC HÒA,,authors: Trần Ngọc
NGƯỜI THỦ TƯỚNG NHÂN DÂN,ĐẶNG THANH HUYỀN,ĐẶNG THANH HUYỀN,,authors: ĐẶNG THANH HUYỀN
Người thứ 3,Nguyễn Trung,Nguyễn Trung,,authors: Nguyên Trung
NGƯỜI THỨ 3,PHÚC TRƯỜNG,PHÚC TRƯỜNG,,authors: Phúc Trường
Người Thứ 3 Lặng Im,Long Lãng Du,Long Lãng Du,,authors: Long Lãng Du
NGƯỜI THỨ BA,LÊ HUY,LÊ HUY,,authors: Lê Huy
NGƯỜI THỨ BA,MINH VY,MINH VY,,authors: Minh Vy
NGƯỜI THỨ BA,"MINH VY, NGUYỄN THỊ THẢO","MINH VY, NGUYỄN THỊ THẢO",,authors: Minh Vy
NGƯỜI THỨ BA,NGUYỄN HỒNG THUẬN,NGUYỄN HỒNG THUẬN,,authors: Nguyễn Hồng Thuận
NGƯỜI THỨ BA,NGUYỄN VĂN CHUNG,NGUYỄN VĂN CHUNG,,authors: Nguyễn Văn Chung
NGƯỜI THỨ BA,NGUYỄN ĐỨC TRUNG,NGUYỄN ĐỨC TRUNG,,authors: Đức Trụ
NGƯỜI THỨ BA,THÁI KHANG,THÁI KHANG,,authors: Thái Khang
NGƯỜI THỨ BA,ĐỖ THANH BÌNH,ĐỖ THANH BÌNH,,authors: Thanh Bình
NGƯỜI THỨ BA LÀ EM,DƯƠNG ĐỨC MINH,DƯƠNG ĐỨC MINH,,authors: Dương Đức Minh
NGƯỜI THỨ BA THẦM KÍN,YUKI HUY NAM,YUKI HUY NAM,,authors: Yuki Huy Nam
NGƯỜI THỨ BA XUẤT HIỆN,ĐẠT MAX,ĐẠT MAX,,authors: Đạt Max
NGƯỜI THỨ BA ĐÂU CÓ LỖI,CAO TÙNG ANH,CAO TÙNG ANH,,authors: Cao Tùng Anh
NGƯỜI THỨ HAI,"HỮU XUÂN, PHAN THỊ VĨNH HẰNG","HỮU XUÂN, PHAN THỊ VĨNH HẰNG",,authors: Thu Hà
NGƯỜI THỨ HAI ĐẾN SAU,PHAN THÀNH LONG,PHAN THÀNH LONG,,authors: Thu Hà
NGƯỜI THỨC CÙNG NON SÔNG,LÊ VĂN THIỆN,LÊ VĂN THIỆN,,authors: Lê Văn Thiện
NGƯỜI THỪA,HOÀNG BẢO NAM,HOÀNG BẢO NAM,,authors: Hoàng Bảo
NGƯỜI THỪA,HOÀNG RAPPER,HOÀNG RAPPER,,authors: Hoàng Rapper
NGƯỜI THỪA,HUỲNH GIA QUÝ,HUỲNH GIA QUÝ,,authors: Huỳnh Gia Quý
NGƯỜI THỪA,LÂM THÁI HIỀN,LÂM THÁI HIỀN,,authors: Lâm Thái Hiền
NGƯỜI THỪA,THANH HƯNG,THANH HƯNG,,authors: Thanh Hưng
NGƯỜI THỪA 2,TÂY GIANG,TÂY GIANG,,authors: Tây Giang
NGƯỜI THỪA KẾ TRÁI TIM,LOHAN,LOHAN,,titles: KỆ
NGƯỜI THỪA ĐẾN TRƯỚC,WENDY THẢO,WENDY THẢO,,authors: Wendy Thảo
NGƯỜI THỰC KHÁCH CÔ ĐƠN,TRẦN QUANG HUY,TRẦN QUANG HUY,,authors: Quang Huy
NGƯỜI TIN CỦA NGƯỜI CHIẾN SĨ,NGUYỄN VĨNH TRỊNH,NGUYỄN VĨNH TRỊNH,,authors: Nguyễn Vĩ
NGƯỜI TRAI LÀNG ĐỎ,THẾ SONG,THẾ SONG,,authors: Thế Song
NGƯỜI TRAI MỘ ĐỨC,THẾ SONG,THẾ SONG,,authors: Thế Song
NGƯỜI TRI KỶ VỢ HIỀN,"THANH MINH, TRƯƠNG TỬ KA","THANH MINH, TRƯƠNG TỬ KA",,authors: Anh Minh
NGƯỜI TRI ÂM,HAMLET TRƯƠNG,HAMLET TRƯƠNG,,authors: Hamlet Trương
NGƯỜI TRINH SÁT VŨ TRANG,TỐNG CÔNG LUẬN,TỐNG CÔNG LUẬN,,authors: Tống Công Luận
NGƯỜI TRONG BÓNG TỐI,HUỲNH QUỐC HUY,HUỲNH QUỐC HUY,,authors: Huỳnh Quốc Huy
NGƯỜI TRONG BÓNG TỐI,LÊ HUY,LÊ HUY,,authors: Lê Huy
NGƯỜI TRONG BÓNG TỐI,TĂNG NHẬT TUỆ,TĂNG NHẬT TUỆ,,authors: Tăng Nhật Tuệ
NGƯỜI TRONG CUỘC MỚI HIỂU,KHÁNH ĐƠN,KHÁNH ĐƠN,,authors: Khánh Đơn
NGƯỜI TRONG CÕI NHỚ,TRỊNH GIA KIỆT,TRỊNH GIA KIỆT,,titles: Trịnh Gia
NGƯỜI TRONG DI ẢNH,LÊ THƯƠNG,LÊ THƯƠNG,,authors: Lê Thương
NGƯỜI TRONG GIANG HỒ,VÂN DU,VÂN DU,,authors: Vân Du
NGƯỜI TRONG GƯƠNG,HÙNG QUÂN,HÙNG QUÂN,,authors: Hùng Quân
NGƯỜI TRONG GƯƠNG,LÊ CHÍ TRUNG,LÊ CHÍ TRUNG,,authors: Lê Chí Trung
NGƯỜI TRONG KỈ NIỆM,HỒNG HUY,HỒNG HUY,,titles: Trống
NGƯỜI TRONG LUÂN HỒI,PHẠM VĨNH AN,PHẠM VĨNH AN,,authors: Vĩnh An
Người Trong Lòng Đã Có Người Trong Lòng,LE DUC ANH TUAN,LE DUC ANH TUAN,,authors: Anh Tú
NGƯỜI TRONG MƠ,"VIỆT TÂM, VÕ TÁ HÂN","VIỆT TÂM, VÕ TÁ HÂN",,authors: Tạ Hà
NGƯỜI TRONG MỘNG,"KELVIN KHÁNH, NGUYỄN HOÀNG TUẤN","KELVIN KHÁNH, NGUYỄN HOÀNG TUẤN",,authors: Hoàng Tuấn
NGƯỜI TRONG ĐAU KHỔ VẪN CƯỜI,HAMLET TRƯƠNG,HAMLET TRƯƠNG,,authors: Hamlet Trương
NGƯỜI TRÍ,UY THI CA,UY THI CA,,authors: Uy Thi Ca
NGƯỜI TRÍ SĨ BẮC HÀ,"GIÁNG SON, PHẠM HỒNG ĐIỆP","GIÁNG SON, PHẠM HỒNG ĐIỆP",,authors: Bac
NGƯỜI TRÚNG SỐ,HOÀNG VÂN,HOÀNG VÂN,,authors: Hoàng Vân
NGƯỜI TRĂM NĂM CÓ ĐỢI,MAI TRUNG TÍN,MAI TRUNG TÍN,,authors: Trung Tín
NGƯỜI TRƯỚC BƯỚC THEO TÌNH ĐẦU,NHỰT KAYPJ,NHỰT KAYPJ,,titles: Buoc
NGƯỜI TRẢ ƯU PHIỀN,HOÀNG QUỐC BẢO,HOÀNG QUỐC BẢO,,authors: HOÀNG QUỐC BẢO
NGƯỜI TRẮC THỦ TRAI MÈO,MAI CÔNG THẮNG,MAI CÔNG THẮNG,,authors: Mai Công Thắng
NGƯỜI TRỄ HẸN MÙA XUÂN,"CAO QUẢNG VĂN, NGUYỄN NAM","CAO QUẢNG VĂN, NGUYỄN NAM",,authors: Nguyễn Nam
NGƯỜI TRỒNG CÂY LẤY GỖ Ở HƯƠNG SƠN,ÁNH DƯƠNG,ÁNH DƯƠNG,,authors: Ánh Dương
NGƯỜI TRỒNG CÂY NHÂN ĐỨC,ĐẶNG THANH HUYỀN,ĐẶNG THANH HUYỀN,,authors: ĐẶNG THANH HUYỀN
NGƯỜI TRỒNG HOA CHO TỔ QUỐC,"THƯỢNG LUYẾN, TRỌNG TĨNH","THƯỢNG LUYẾN, TRỌNG TĨNH",,authors: Trọng Tĩnh
NGƯỜI TRỒNG HOA Ở NGHĨA ĐỊA HÀNG DƯƠNG,"TRƯƠNG MINH HOAN, ĐỖ THANH KHANG","TRƯƠNG MINH HOAN, ĐỖ THANH KHANG",,authors: Đía
NGƯỜI TRỒNG HOA Ở NGHĨA ĐỊA HÀNG DƯƠNG,ĐỖ THANH KHANG,TRƯƠNG MINH HOAN,,authors: Đía
NGƯỜI TRỒNG RÙNG TRÊN BIÊN GIỚI,VĨNH AN,VĨNH AN,,authors: Vĩnh An
NGƯỜI TRỒNG VƯỜN,TRẦN NGỌC HUY,TRẦN NGỌC HUY,,authors: Trần Ngọc
NGƯỜI TRỘM LÀNH,MI TRẦM,MI TRẦM,,authors: Mi Trâm
NGƯỜI TRỞ LẠI,BẰNG CƯỜNG,BẰNG CƯỜNG,,authors: Bằng Cường
NGƯỜI TRỞ VỀ,"BÌNH NGUYÊN TRANG, ĐẶNG HOÀNG LONG","BÌNH NGUYÊN TRANG, ĐẶNG HOÀNG LONG",,authors: Hoàng Long
NGƯỜI TRỞ VỀ,NGUYỄN TRUNG,NGUYỄN TRUNG,,authors: Nguyên Trung
NGƯỜI TRỞ VỀ CÕI LẶNG,"NGUYỄN LOAN, NGUYỄN VIỆT","NGUYỄN LOAN, NGUYỄN VIỆT",,authors: Nguyễn Vĩ
NGƯỜI TRỞ VỀ QUÊ HƯƠNG,"HÀN CHÂU, VỊNH ĐẠI SƠN","HÀN CHÂU, VỊNH ĐẠI SƠN",,titles: Về Quê Hương
NGƯỜI TU VÔ VI,"BÙI THANH HIẾU, LƯƠNG SĨ HẰNG","BÙI THANH HIẾU, LƯƠNG SĨ HẰNG",,authors: THANH HIẾU
NGƯỜI TUYẾT BĂNG GIÁ,NGUYỄN NGỌC THIỆN,NGUYỄN NGỌC THIỆN,,authors: Nguyễn Ngọc Thiện
NGƯỜI TUYỆT VỜI NHẤT THẾ GIAN,NGUYỄN MINH CƯỜNG,NGUYỄN MINH CƯỜNG,,authors: Nguyễn Minh Cường
NGƯỜI TUÔN NƯỚC MẮT TRỜI TUÔN MƯA,NGUYỄN MINH ANH,NGUYỄN MINH ANH,,authors: Nguyễn Minh Anh
NGƯỜI TUẦN ĐƯỜNG,HOÀNG BÌNH,HOÀNG BÌNH,,authors: Hoàng Bình
NGƯỜI TUẦN ĐƯỜNG,"HOÀNG BÌNH, TRỊNH VĂN KHANH","HOÀNG BÌNH, TRỊNH VĂN KHANH",,authors: Hoàng Bình
NGƯỜI TÀI XẾ,VŨ QUỐC VIỆT,VŨ QUỐC VIỆT,,authors: Vũ Quốc Việt
NGƯỜI TÀN NHẪN,HOÀNG BẢO NAM,HOÀNG BẢO NAM,,authors: Hoàng Bảo
NGƯỜI TÂY NGUYÊN NHỚ ƠN,DUY BẰNG,DUY BẰNG,,titles: Bần
NGƯỜI TÊN GIO AN,MI TRẦM,MI TRẦM,,authors: Mi Trâm
NGƯỜI TÌM CÔ ĐƠN,SƠN MẠCH THÁI,SƠN MẠCH THÁI,,authors: SƠN MẠCH
NGƯỜI TÌM GIẤC MƠ,YUKI HUY NAM,YUKI HUY NAM,,authors: Yuki Huy Nam
NGƯỜI TÌM HẠNH PHÚC MỚI,BĂNG TÌNH,BĂNG TÌNH,,authors: Băng Tình
NGƯỜI TÌM MẠCH THAN LƯNG NÚI,HỒNG ĐĂNG,HỒNG ĐĂNG,,authors: Hồng Đăng
NGƯỜI TÌM NẤM MỘ,TRẦN TUẤN KIỆT,TRẦN TUẤN KIỆT,,authors: Trần Tuấn Kiệt
NGƯỜI TÌNH,DIÊN AN,DIÊN AN,,authors: Diên An
NGƯỜI TÌNH,HUỲNH THANH TUẤN,HUỲNH THANH TUẤN,,authors: Thanh Tuấn
NGƯỜI TÌNH,KHẮC VIỆT,KHẮC VIỆT,,authors: Khắc Việt
NGƯỜI TÌNH,NGUYỄN NHẤT HUY,NGUYỄN NHẤT HUY,,authors: Nguyễn Nhất Huy
NGƯỜI TÌNH,NGUYỄN TUẤN,NGUYỄN TUẤN,,authors: Nguyễn Tuấn
NGƯỜI TÌNH,"NGUYỄN VƯỜN XƯA, THÁI THĂNG LONG","NGUYỄN VƯỜN XƯA, THÁI THĂNG LONG",,authors: Nguyễn Vũ
NGƯỜI TÌNH,THÁI HÙNG,THÁI HÙNG,,authors: Thái Hùng
NGƯỜI TÌNH,ĐỖ QUỲNH ANH,ĐỖ QUỲNH ANH,,titles: Đồ Quỷ
NGƯỜI TÌNH BUỒN VU VƠ,LƯƠNG BẰNG VINH,LƯƠNG BẰNG VINH,,authors: Lương Bằng Vinh
NGƯỜI TÌNH BÉ BỎNG CỦA TÔI,"CHU HOẠCH, ÁI THI","CHU HOẠCH, ÁI THI",,authors: Bôn
NGƯỜI TÌNH BÉ NHỎ,"DUY TUẤN, LÊ TẤN NGHĨA","DUY TUẤN, LÊ TẤN NGHĨA",,authors: DUY TUẤN
NGƯỜI TÌNH BÓNG ĐÊM,BẰNG CƯỜNG,BẰNG CƯỜNG,,authors: Bằng Cường
NGƯỜI TÌNH BƯỚNG BỈNH,TRẦN ĐÌNH KHÁNH,TRẦN ĐÌNH KHÁNH,,authors: BÌN
NGƯỜI TÌNH BỘI VONG,THIÊN QUANG,THIÊN QUANG,,authors: Thiên Quang
NGƯỜI TÌNH CORAZON,VŨ QUỐC BÌNH,VŨ QUỐC BÌNH,,authors: Vũ Quốc Bình
NGƯỜI TÌNH CÔ ĐƠN,KHÁNH BĂNG,KHÁNH BĂNG,,authors: Khánh Băng
NGƯỜI TÌNH CÔ ĐƠN,TRƯƠNG QUANG TUẤN,TRƯƠNG QUANG TUẤN,,authors: Trương Quang Tuấn
NGƯỜI TÌNH CÔ ĐƠN,VÂN QUANG LONG,VÂN QUANG LONG,,authors: Vân Quang Long
NGƯỜI TÌNH CŨ,CHÍ THÀNH DANH,CHÍ THÀNH DANH,,titles: Người Tình Cũ
NGƯỜI TÌNH CŨ ƠI,XANH XANH,XANH XANH,,titles: Người Tình Cũ
NGƯỜI TÌNH CỐ CHẤP,HAMLET TRƯƠNG,HAMLET TRƯƠNG,,authors: Hamlet Trương
NGƯỜI TÌNH CỦA DIỄM,LOAN THẢO,LOAN THẢO,,titles: Người Tình Cũ
NGƯỜI TÌNH CỦA LÍNH,Y VÂN,Y VÂN,,authors: Y Vân
NGƯỜI TÌNH CỦA MẸ,NHỊ KIỀU,NHỊ KIỀU,,titles: Người Tình Cũ
NGƯỜI TÌNH CỦA NGƯỜI YÊU,PHẠM HỒNG PHƯỚC,PHẠM HỒNG PHƯỚC,,titles: Người Tình Cũ
NGƯỜI TÌNH CỦA TÔI,TÂM HOÀNG,TÂM HOÀNG,,titles: Người Tình Cũ
NGƯỜI TÌNH DOCTOR JONES,MINH CHÂU,MINH CHÂU,,authors: Minh Châu
NGƯỜI TÌNH DOMINO,HÀ QUANG MINH,HÀ QUANG MINH,,authors: HÀ QUANG MINH
NGƯỜI TÌNH DẤU YÊU,"NGUYÊN DŨNG, NGUYỄN THỊ DINH","NGUYÊN DŨNG, NGUYỄN THỊ DINH",,authors: Nguyễn Du
NGƯỜI TÌNH DỄ THƯƠNG,"LÝ BÔNG DỪA, LƯƠNG GIA HUY","LÝ BÔNG DỪA, LƯƠNG GIA HUY",,authors: Gia Huy
NGƯỜI TÌNH DỄ THƯƠNG,LƯƠNG GIA HUY,LƯƠNG GIA HUY,,authors: Gia Huy
NGƯỜI TÌNH DỐI GIAN,TRUNG QUÂN,TRUNG QUÂN,,authors: Trung Quân
NGƯỜI TÌNH GÓA PHỤ,"NGUYỄN XUÂN MAI, TRẦN THI XUÂN","NGUYỄN XUÂN MAI, TRẦN THI XUÂN",,authors: NGUYỄN XUÂN MAI
NGƯỜI TÌNH GÓC KHUẤT,NGUYÊN CHẤN PHONG,NGUYÊN CHẤN PHONG,,authors: Nguyên Chấn Phong
NGƯỜI TÌNH HAI MẶT,HỒ VIỆT TRUNG,HỒ VIỆT TRUNG,,authors: Hồ Việt Trung
NGƯỜI TÌNH HAI MẶT,NGUYỄN MINH ANH,NGUYỄN MINH ANH,,authors: Nguyễn Minh Anh
NGƯỜI TÌNH HAY GHEN,NGUYỄN NHẤT HUY,NGUYỄN NHẤT HUY,,authors: Nguyễn Nhất Huy
NGƯỜI TÌNH HỠI,NGUYỄN VĨNH TIẾN,NGUYỄN VĨNH TIẾN,,authors: Nguyễn Vĩ
NGƯỜI TÌNH KHUẤT LỐI,CÔ HOÀNG HÂN,CÔ HOÀNG HÂN,,authors: Hoàng Hà
NGƯỜI TÌNH KHÓ QUÊN,LỮ LIÊN,LỮ LIÊN,,authors: Lữ Liên
NGƯỜI TÌNH KHÔNG CHÂN DUNG,HOÀNG TRỌNG,HOÀNG TRỌNG,,authors: Hoàng Trọng
NGƯỜI TÌNH KHÔNG CƯỚI,TÔ TÀI NĂNG,TÔ TÀI NĂNG,,authors: Tô Tài Năng
NGƯỜI TÌNH KHÔNG DANH PHẬN,THIÊN TRƯỜNG,THIÊN TRƯỜNG,,titles: Người Tình Không
NGƯỜI TÌNH KHÔNG THỂ CƯỚI,LÂM CHU MIN,LÂM CHU MIN,,titles: Người Tình Không
NGƯỜI TÌNH KHÔNG ĐẾN,"LÂM HỮU TẶNG, NGÂN GIANG","LÂM HỮU TẶNG, NGÂN GIANG",,titles: Người Tình Không
NGƯỜI TÌNH KHÔNG ĐẾN,"NGÂN GIANG, ĐĂNG MINH","NGÂN GIANG, ĐĂNG MINH",,titles: Người Tình Không
NGƯỜI TÌNH KHÔNG ĐẾN,"NGÔ THANH DIỆU, THƯỢNG NGÀN","NGÔ THANH DIỆU, THƯỢNG NGÀN",,authors: Thượng Ngàn
NGƯỜI TÌNH KHÔNG ĐẾN,"NHUNG LÊ, NGÂN GIANG","NHUNG LÊ, NGÂN GIANG",,titles: Người Tình Không
NGƯỜI TÌNH LA LAN,HÀN CHÂU,HÀN CHÂU,,authors: Hàn Châu
NGƯỜI TÌNH LÀ SỐ 1,CAO NHẬT MINH,CAO NHẬT MINH,,authors: Cao Nhật Minh
NGƯỜI TÌNH LẠC LỐI,NGUYỄN MINH ANH,NGUYỄN MINH ANH,,authors: Nguyễn Minh Anh
NGƯỜI TÌNH LẠC LỐI,NGUYỄN NHẤT HUY,NGUYỄN NHẤT HUY,,authors: Nguyễn Nhất Huy
NGƯỜI TÌNH LẺ LOI,DZOÃN BÌNH,DZOÃN BÌNH,,authors: Dzoãn Bình
NGƯỜI TÌNH LẺ LOI,LƯƠNG BẰNG VINH,LƯƠNG BẰNG VINH,,authors: Lương Bằng Vinh
NGƯỜI TÌNH MO CAU,"TÔ THIÊN KIỀU, VINH SỬ","TÔ THIÊN KIỀU, VINH SỬ",,authors: Vinh Sử
NGƯỜI TÌNH MUÔN THUỞ,ĐẶNG THANH HUYỀN,ĐẶNG THANH HUYỀN,,authors: ĐẶNG THANH HUYỀN
NGƯỜI TÌNH MÃI XA,BÌNH NGUYÊN,BÌNH NGUYÊN,,authors: Bình Nguyên
NGƯỜI TÌNH MÙA XUÂN,CHU MINH KÝ,CHU MINH KÝ,,authors: Minh Kỳ
NGƯỜI TÌNH MÙA XUÂN,LƯ THẢO NGUYÊN,LƯ THẢO NGUYÊN,,authors: Thảo Nguyên
NGƯỜI TÌNH MÙA XUÂN,"TUẤN SÔNG THU, VÕ CÔNG ANH","TUẤN SÔNG THU, VÕ CÔNG ANH",,authors: Tuấn Sông Thu
NGƯỜI TÌNH MÙA ĐÔNG,TRẦN NHẬT NGÂN,TRẦN NHẬT NGÂN,,authors: NHẬT NGÂN
NGƯỜI TÌNH MỘNG MƠ,VÂN TÙNG,VÂN TÙNG,,authors: Vân Tùng
NGƯỜI TÌNH MỘT ĐÊM,THÁI HÙNG,THÁI HÙNG,,authors: Thái Hùng
NGƯỜI TÌNH MỸ TRÀ,NGUYỄN THỤY KHA,NGUYỄN THỤY KHA,,authors: Nguyễn Thuỵ Kha
NGƯỜI TÌNH NGƯỜI TA,HUY THÁI,HUY THÁI,,authors: Huy Thái
NGƯỜI TÌNH NHỎ,"NGUYỄN THỊ KIM LOAN, NGUYỄN XUÂN MAI","NGUYỄN THỊ KIM LOAN, NGUYỄN XUÂN MAI",,titles: Người Tình Nhỏ
NGƯỜI TÌNH NHỎ,VŨ QUỐC BÌNH,VŨ QUỐC BÌNH,,authors: Vũ Quốc Bình
NGƯỜI TÌNH NHỎ BÉ,"BIG DADDY, TIÊN COOKIE","BIG DADDY, TIÊN COOKIE",,titles: Người Tình Nhỏ
